,isbn13,isbn10,title,authors,categories,description,published_year,average_rating,num_pages,ratings_count,cleaned_description
5039,9780805079135,0805079130,Saint-Exupery,Stacy Schiff,Biography & Autobiography,"Traces the life of the French author and pilot, depicts his complex personality, and looks at his contributions to the war effort.",2006,4,560,195,traces life french author pilot depicts complex personality looks contributions war effort
5040,9780805080490,080508049X,The Black Cauldron,Lloyd Alexander,Juvenile Fiction,The land of Prydain is threatened by the evil Arawn and his band of invincible warriors.,2006,4,182,51994,land prydain threatened evil arawn band invincible warriors
5041,9780805080513,0805080511,Taran Wanderer,Lloyd Alexander,Juvenile Fiction,The fourth book of the Prydain cycle tells of the adventures that befell Taran when he went in search of his birthright and the truth about himself.,2006,4,222,33286,fourth book prydain cycle tells adventures befell taran went search birthright truth himself
5042,9780805080520,080508052X,The High King,Lloyd Alexander,Juvenile Fiction,"In this final part of the chronicle of Prydain, the forces of good and evil meet in an ultimate confrontation, which determines the fate of Taran, the Assistant Pig-Keeper who wanted to be a hero.",2006,4,253,47268,final part chronicle prydain forces good evil meet ultimate confrontation determines fate taran assistant pig keeper wanted hero
5043,9780805080537,0805080538,The Foundling,Lloyd Alexander,Juvenile Fiction,"Presents six short stories dealing with events that preceded the birth of Taran, a key figure in the author's five works on the Kingdom of Prydain.",2006,4,98,3563,presents six short stories dealing events preceded birth taran key figure author s five works kingdom prydain
5046,9780805209068,0805209069,The diaries,Franz Kafka,Biography & Autobiography,Journal entries share Kafka's thoughts and observations during the ten years before his death,1988,4,521,2028,journal entries share kafka s thoughts observations ten years death
5047,9780805210538,0805210539,"The Trial of God (as it was Held on February 25, 1649, in Shamgorod)",Elie Wiesel,Fiction,A drama set in a medieval village where three itinerant Jewish actors put God on trial to answer for his silence during a pogrom considers post-Holocaust issues,1995,4,208,915,drama set medieval village three itinerant jewish actors put god trial answer silence pogrom considers post holocaust issues
5048,9780805210552,0805210555,The Complete Stories,Franz Kafka,Fiction,"Collects the entire body of Kafka's short stories and parables, reflecting his concern for modern man's search for identity, place, and purpose",1995,4,486,19625,collects entire body kafka s short stories parables reflecting concern modern man s search identity place purpose
5049,9780805210774,0805210776,"The Magic Orange Tree, and Other Haitian Folktales",Diane Wolkstein;Elsa Henriquez,Fiction,A collection of folktales gathered by the author in Haiti with comments on Haitian folklore.,1978,4,224,120,collection folktales gathered author haiti comments haitian folklore
5050,9780805211160,0805211160,How to Be a Jewish Parent,Anita Diamant;Karen Kushner,Family & Relationships,"How can I make the holidays interesting and meaningful to my child? Should I send my child to a Jewish day school? A Jewish summer camp? What kind of synagogue is best for my family? How do I plan a family trip to Israel or add Jewish heritage sites when traveling around the country or around the world? If you are, or hope to be, a Jewish parent in more than name, you have a lot of decisions to make. So many choices! But you can have no better guide to this wealth of opportunity than Anita Diamant. The author of popular books on Jewish weddings and baby rituals, Diamant now joins with family therapist Karen Kushner to help you through the next steps. They give creative, practical answers to these and many other questions, provide guidance on how to foster Jewish decision making for children of all ages, describe how to make your home a ""Jewish space,"" and explain the importance of synagogue membership, holiday celebrations, community service, and other family activities. Diamant and Kushner draw from many sources to describe the practices, customs, and values that go into creating a Jewish home. They combine insights from Jewish tradition with contemporary developmental thinking about how children learn and grow. They provide addresses (including Web sites) where you can find specific information and other resources. And since experience may be the best of all teachers, they share their own and other parents' stories and observations. For Diamant and Kushner, the number-one goal ofHow to Be a Jewish Parentis to give parents (and grandparents) guideposts to raising joyful children within the rich tradition of the Jewish faith and culture. No Jewish family should be without it.",2000,4,352,50,make holidays interesting meaningful child send child jewish day school jewish summer camp kind synagogue best family plan family trip israel add jewish heritage sites traveling around country around world are hope be jewish parent name lot decisions make many choices better guide wealth opportunity anita diamant author popular books jewish weddings baby rituals diamant joins family therapist karen kushner help next steps give creative practical answers many questions provide guidance foster jewish decision making children ages describe make home jewish space explain importance synagogue membership holiday celebrations community service family activities diamant kushner draw many sources describe practices customs values go creating jewish home combine insights jewish tradition contemporary developmental thinking children learn grow provide addresses including web sites find specific information resources since experience may best teachers share parents stories observations diamant kushner number one goal ofhow jewish parentis give parents and grandparents guideposts raising joyful children within rich tradition jewish faith culture jewish family without it
